Unnamed: 0,Date,User,Tweet,Tweet Language,Like Count,Reetweet Count,Reply Count,Quote Count,Hashtags,inReplyToUser,Mentioned Users,Month,Year,Mention Count,Hashtag Count,Emoji Count,Word Count,Tweet Vulgarity,New Tweet,Sentiment Subjectivity,Sentiment Polarity,ASCII Tweet,Character Count
1662,2018-02-05 19:10:18+00:00,LewisHamilton,"The moment when a thousand years worth of working hours are put to the test. This is the moment that starts everything, the moment we’ve all been waiting for...🔥🔥🔥🔥#W09Countdown @MercedesAMGF1 https://t.co/5iFJiiaPVR",en,9504,1835,431,150,['W09Countdown'],0,"[User(username='MercedesAMGF1', id=26235265, displayname='Mercedes-AMG PETRONAS F1 Team', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",2,2018,1,1,1,31,False,moment thousand years worth working hours put test moment starts everything moment we’ve waiting for🔥🔥🔥🔥w09countdown mercedesamgf1,0.1,0.3,533746,216
1661,2018-02-07 11:28:55+00:00,LewisHamilton,Proud of you Billy! 🙌🏾 https://t.co/bzZrim7hRD,en,5007,511,73,11,0,0,0,2,2018,0,0,1,6,False,proud billy 🙌🏾,1.0,1.0,257744,46
1660,2018-02-09 19:49:34+00:00,LewisHamilton,Shredding into the weekend like...  🙌🏾 #MonsterEnergy #SkiDoo https://t.co/Z32HJujq22,en,3134,366,116,14,"['MonsterEnergy', 'SkiDoo']",0,0,2,2018,0,2,1,9,False,shredding weekend like 🙌🏾 monsterenergy skidoo,0.0,0.0,260933,85
1659,2018-02-15 21:48:51+00:00,LewisHamilton,"To all those celebrating, I'd like wish you a happy Chinese New Year. Every time I visit China I learn something new and profound about the culture. Here's to a great year - I can't wait to be racing in Shanghai in the coming months 🇨🇳 https://t.co/TaN56N4bTW",en,6594,747,173,29,0,0,0,2,2018,0,0,1,47,False,celebrating id like wish happy chinese new year every time visit china learn something new profound culture heres great year cant wait racing shanghai coming months 🇨🇳,0.6098484848484849,0.326010101010101,270702,259
1658,2018-02-18 16:10:49+00:00,LewisHamilton,Hey @BubbaWallace! Wishing you the absolute best today in your race. Smash it!! 🙌🏽 🏁,en,5862,711,117,111,0,0,"[User(username='BubbaWallace', id=55457727, displayname='Bubba Wallace', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",2,2018,1,0,2,15,False,hey bubbawallace wishing absolute best today race smash 🙌🏽 🏁,0.6,0.6,389923,84
1657,2018-02-19 16:43:35+00:00,LewisHamilton,Awesome training with @HectorBellerin in LDN. @PUMA IGNITE FLASH ⚡ #PUMAPartner #24Seven https://t.co/Mp4z8g0htm,en,4141,526,68,39,"['PUMAPartner', '24Seven']",0,"[User(username='HectorBellerin', id=191985864, displayname='Héctor Bellerín', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='PUMA', id=50883209, displayname='PUMA.eth', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",2,2018,2,2,0,13,False,awesome training hectorbellerin ldn puma ignite flash ⚡ pumapartner 24seven,1.0,1.0,17045,112
1656,2018-02-20 19:11:50+00:00,LewisHamilton,Riding a motorcycle is an art form. I have nothing but respect for those competing at the top of their game in this field. It's such a rush. Stay tuned for something epic... @calcrutchlow 🔥🔥🔥🔥 #F4LH44 #MVAgusta #Ambassador #dainesecrew 📷leoiannelli @mvagustamotor https://t.co/sxkju7AOUn,en,3820,524,101,25,"['F4LH44', 'MVAgusta', 'Ambassador', 'dainesecrew']",0,"[User(username='calcrutchlow', id=146813134, displayname='Cal Crutchlow', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='mvagustamotor', id=3573866235, displayname='MV Agusta Motor', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",2,2018,2,4,2,42,False,riding motorcycle art form nothing respect competing top game field rush stay tuned something epic calcrutchlow 🔥🔥🔥🔥 f4lh44 mvagusta ambassador dainesecrew 📷leoiannelli mvagustamotor,0.44999999999999996,0.049999999999999996,658639,287
1655,2018-02-21 19:51:50+00:00,LewisHamilton,Is MotoGP ready for me? Had an amazing track day with @calcrutchlow​ 🔥🔥🔥🔥 @MonsterEnergy 🎥X @thejonnyhynes 🎵X @themadeseriestv https://t.co/hNxqaXdeCB,en,5478,1162,208,126,0,0,"[User(username='calcrutchlow', id=146813134, displayname='Cal Crutchlow', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='MonsterEnergy', id=63253045, displayname='Monster Energy', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='TheJonnyHynes', id=1452301830, displayname='Jonny Hynes', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='themadeseriestv', id=725511460848201728, displayname='The MADE Series', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",2,2018,4,0,3,19,False,motogp ready amazing track day calcrutchlow​ 🔥🔥🔥🔥 monsterenergy 🎥x thejonnyhynes 🎵x themadeseriestv,0.7,0.4,786350,150
1654,2018-02-22 11:03:44+00:00,LewisHamilton,Are you guys ready to see the new car?.. ⚡⚡⚡⚡ @MercedesAMGF1 https://t.co/3g1pMDOEmC,en,12723,1489,528,158,0,0,"[User(username='MercedesAMGF1', id=26235265, displayname='Mercedes-AMG PETRONAS F1 Team', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",2,2018,1,0,0,12,False,guys ready see new car ⚡⚡⚡⚡ mercedesamgf1,0.4772727272727273,0.16818181818181818,42994,84
1653,2018-02-22 15:28:35+00:00,LewisHamilton,"In complete awe. The amount of focus, determination and expertise into every ounce of this car is astounding. I can’t wait get racing and push this beast to its limits. It’s so much more than a machine 🙌🏾 @MercedesAMGF1 W09 EQ Power+ #DrivenByEachOther https://t.co/KlsxmZELDw",en,9283,1682,345,149,['DrivenByEachOther'],0,"[User(username='MercedesAMGF1', id=26235265, displayname='Mercedes-AMG PETRONAS F1 Team', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",2,2018,1,1,1,44,False,complete awe amount focus determination expertise every ounce car astounding can’t wait get racing push beast limits it’s much machine 🙌🏾 mercedesamgf1 w09 eq power drivenbyeachother,0.6333333333333333,0.39999999999999997,290104,276
