Unnamed: 0,Date,User,Tweet,Tweet Language,Like Count,Reetweet Count,Reply Count,Quote Count,Hashtags,inReplyToUser,Mentioned Users,Month,Year,Mention Count,Hashtag Count,Emoji Count,Word Count,Tweet Vulgarity,New Tweet,Sentiment Subjectivity,Sentiment Polarity,ASCII Tweet,Character Count
4511,2018-01-29 16:49:32+00:00,imVkohli,"20 grand slams and 6th Australian open, what a legend! Take a bow @RogerFederer 🙌🙌🙌 #MondayMotivation 💪 https://t.co/WIfvBYQPNe",en,67190,5248,896,102,['MondayMotivation'],0,"[User(username='rogerfederer', id=1337785291, displayname='Roger Federer', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",1,2018,1,1,2,18,False,20 grand slams 6th australian open legend take bow rogerfederer 🙌🙌🙌 mondaymotivation 💪,0.5,0.16666666666666666,521662,127
4508,2018-02-06 09:37:45+00:00,imVkohli,"Congratulations Myntra for getting hold of Wrogn's brand new collection! 😉
Go WROGN now at https://t.co/fhUEBfFxII
#StayWrogn @StayWrogn https://t.co/FK6Xg6YpSf",en,33724,1868,604,35,['StayWrogn'],0,"[User(username='StayWrogn', id=2856425766, displayname='Wrogn', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",2,2018,1,1,1,19,False,congratulations myntra getting hold wrogns brand new collection 😉 go wrogn staywrogn staywrogn,0.45454545454545453,0.17045454545454544,137750,160
4507,2018-02-07 08:18:48+00:00,imVkohli,"Here’s a REMINDER. This is not a fairytale. #PariTeaser
@AnushkaSharma @OfficialCSFilms 
Love it ♥️ https://t.co/QbSxPxgMP5",en,53715,4660,1435,313,['PariTeaser'],0,"[User(username='AnushkaSharma', id=54829997, displayname='Anushka Sharma', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",2,2018,2,1,0,15,False,here’s reminder fairytale pariteaser anushkasharma officialcsfilms love ♥️,0.6,0.5,90134,123
4506,2018-02-08 11:47:59+00:00,imVkohli,"An extraordinary gesture by an extraordinary young sportsperson, very happy to read this and very proud of you. 👏😊 Wish you all the luck for your upcoming competitions! https://t.co/OvDc4TiYY3",en,33381,2148,508,31,0,0,0,2,2018,0,0,1,29,False,extraordinary gesture extraordinary young sportsperson happy read proud 👏😊 wish luck upcoming competitions,0.8800000000000001,0.5533333333333333,267062,192
4505,2018-02-15 05:41:28+00:00,imVkohli,"Can’t wait to watch my one and only in an avatar never seen before and I’m blown away already ❤. Can’t wait 😃❤ @anushkasharma @officialcsfilms #PariTrailer

https://t.co/6zbPAbzlFD",en,47912,3785,1062,197,['PariTrailer'],0,"[User(username='AnushkaSharma', id=54829997, displayname='Anushka Sharma', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",2,2018,2,1,1,27,False,can’t wait watch one avatar never seen i’m blown away already ❤ can’t wait 😃❤ anushkasharma officialcsfilms paritrailer,1.0,0.0,184143,180
4504,2018-02-16 06:41:47+00:00,imVkohli,"Everyone has an #InnerGreatness, let's Spark yours with inspiring sounds. 😊 https://t.co/8MXBNx5lol",en,37998,2218,844,51,['InnerGreatness'],0,0,2,2018,0,1,1,12,False,everyone innergreatness lets spark inspiring sounds 😊,1.0,0.5,133735,99
4499,2018-02-28 15:41:47+00:00,imVkohli,"Absolutely buzzing to see the #Gaurs lead by 3 goals at the end of first half here at Fatorda! Can't wait to see more goals in the second!!! 👌💪
#ForcaGoa #WeTogether @FCGoaOfficial https://t.co/ssnSPSkiT5",en,23809,1329,377,14,"['Gaurs', 'ForcaGoa', 'WeTogether']",0,"[User(username='FCGoaOfficial', id=2677681358, displayname='FC Goa', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",2,2018,1,3,1,33,False,absolutely buzzing see gaurs lead 3 goals end first half fatorda cant wait see goals second 👌💪 forcagoa wetogether fcgoaofficial,0.38,0.14833333333333334,268195,204
4498,2018-02-28 16:55:37+00:00,imVkohli,"That was some performance by the lads today, 5-1 and it could've been so many more! Onwards and upwards from here! #ForcaGoa #WeTogether @FCGoaOfficial https://t.co/j2DQekRso6",en,18390,1088,299,12,"['ForcaGoa', 'WeTogether']",0,"[User(username='FCGoaOfficial', id=2677681358, displayname='FC Goa', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",2,2018,1,2,0,25,False,performance lads today 51 couldve many onwards upwards forcagoa wetogether fcgoaofficial,0.5,0.640625,8549,175
4497,2018-03-01 06:17:05+00:00,imVkohli,I’ve got a surprise for you guys. Head to @AMtouristerIN to reveal my new swag look! 🤙😎,en,28577,1538,558,31,0,0,"[User(username='AMtouristerIN', id=2228086802, displayname='American Tourister', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",3,2018,1,0,1,17,False,i’ve got surprise guys head amtouristerin reveal new swag look 🤙😎,0.45454545454545453,0.17045454545454544,272043,87
4496,2018-03-01 08:36:13+00:00,imVkohli,"It’s #Swagpack time! Watch me groove to the tunes of @AMtouristerIN ’s new TVC, featuring their new #Swagpack collection. 👌 https://t.co/ghxmzJgTin",en,24979,1733,609,41,"['Swagpack', 'Swagpack']",0,"[User(username='AMtouristerIN', id=2228086802, displayname='American Tourister', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",3,2018,1,2,1,21,False,it’s swagpack time watch groove tunes amtouristerin ’s new tvc featuring new swagpack collection 👌,0.45454545454545453,0.13636363636363635,153746,147
4494,2018-03-04 06:11:54+00:00,imVkohli,"Lovely people, good memories! 😇 https://t.co/tD46giy5zj",en,70544,2929,1172,80,0,0,0,3,2018,0,0,1,6,False,lovely people good memories 😇,0.675,0.6875,131249,55
4493,2018-03-04 14:40:26+00:00,imVkohli,"Into the semissssss, come on!!!! Second comprehensive win in a row, great show put up by the #Gaurs. Let's keep it going and build on this momentum @FcGoaOfficial! 💪💪💪 #ForcaGoa",en,33646,1803,459,26,"['Gaurs', 'ForcaGoa']",0,"[User(username='FCGoaOfficial', id=2677681358, displayname='FC Goa', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",3,2018,1,2,1,30,False,semissssss come second comprehensive win row great show put gaurs lets keep going build momentum fcgoaofficial 💪💪💪 forcagoa,0.3833333333333333,0.6,396157,177
4492,2018-03-07 08:49:50+00:00,imVkohli,Just a snippet from the Spring Summer'18 collection of #One8 by @PUMA. Stay tuned guys! 👌👌👌#Excited https://t.co/eUBqAe6cm4,en,26784,1505,584,39,"['One8', 'Excited']",0,"[User(username='PUMA', id=50883209, displayname='PUMA.eth', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",3,2018,1,2,1,17,False,snippet spring summer18 collection one8 puma stay tuned guys 👌👌👌excited,0.0,0.0,390788,123
4491,2018-03-08 04:20:55+00:00,imVkohli,"Tag the extraordinary woman in your life who is #BetterThanEqual @Staywrogn
@AnushkaSharma ♥️ https://t.co/NdjNEPYQjD",en,44748,4719,1136,306,['BetterThanEqual'],0,"[User(username='StayWrogn', id=2856425766, displayname='Wrogn', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='AnushkaSharma', id=54829997, displayname='Anushka Sharma', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",3,2018,2,1,0,14,False,tag extraordinary woman life betterthanequal staywrogn anushkasharma ♥️,1.0,0.3333333333333333,81788,117
4490,2018-03-08 12:44:42+00:00,imVkohli,Where else would you wanna be when you have such a stunning view from home! 😇♥️ https://t.co/u4LfeXmQ11,en,66827,3316,1655,165,0,0,0,3,2018,0,0,1,17,False,else would wanna stunning view home 😇♥️,0.75,0.3125,206846,103
4489,2018-03-08 12:52:58+00:00,imVkohli,"Check out my #AmericanTourister #SwagPack moves! @SDhawan25 think you can do better? Show me your moves…
Swagpackers of India, join the #SwagPack challenge &amp; show us your dance moves! Follow @AMtouristerIN for details! 🤙 https://t.co/yAB0tbG3WQ",en,19344,1220,513,76,"['AmericanTourister', 'SwagPack', 'SwagPack']",0,"[User(username='SDhawan25', id=2911000602, displayname='Shikhar Dhawan', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='AMtouristerIN', id=2228086802, displayname='American Tourister', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",3,2018,2,3,0,35,False,check americantourister swagpack moves sdhawan25 think better show moves… swagpackers india join swagpack challenge amp show us dance moves follow amtouristerin details 🤙,0.5,0.78125,153828,248
4488,2018-03-09 05:29:30+00:00,imVkohli,"After a season of hectic tours, it’s finally time for me to take a backseat. 😊 https://t.co/TGwGpxUpiu",en,68400,3296,1529,179,0,0,0,3,2018,0,0,1,17,False,season hectic tours it’s finally time take backseat 😊,1.0,0.0,141610,102
4487,2018-03-09 07:40:27+00:00,imVkohli,There’s a lot that’s happening right now. Fill you guys in real soon! 👌,en,37536,1968,712,79,0,0,0,3,2018,0,0,1,14,False,there’s lot that’s happening right fill guys real soon 👌,0.41785714285714287,0.26785714285714285,149574,71
4486,2018-03-09 08:12:38+00:00,imVkohli,Looking forward to a successful innings with @Uber_India. Stoked to #TakeABackseat and here's why! #UberIndia https://t.co/fLwCz5eJ25,en,18725,1339,386,55,"['TakeABackseat', 'UberIndia']",0,"[User(username='Uber_India', id=1969337858, displayname='Uber India', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",3,2018,1,2,0,16,False,looking forward successful innings uberindia stoked takeabackseat heres uberindia,0.95,0.9375,8041,133
4485,2018-03-10 08:19:43+00:00,imVkohli,Love the new SS'18 #One8 collection!!! 😍 👌@Puma #ComingSoon #ComeOutAndPlay https://t.co/vmP203JR7I,en,53758,2395,1418,87,"['One8', 'ComingSoon', 'ComeOutAndPlay']",0,"[User(username='PUMA', id=50883209, displayname='PUMA.eth', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",3,2018,1,3,2,11,False,love new ss18 one8 collection 😍 👌puma comingsoon comeoutandplay,0.5272727272727272,0.38316761363636365,262434,99
4484,2018-03-10 17:16:58+00:00,imVkohli,"It's been a great evening here at the Fortress. Thank you #Gaurs for being the best 12th man throughout this season. This sets us up for an exciting second leg in Chennai, can't wait! 👌
#ForcaGoa @FCGoaOfficial https://t.co/AAm2uLsnZ0",en,26048,1335,347,24,"['Gaurs', 'ForcaGoa']",0,"[User(username='FCGoaOfficial', id=2677681358, displayname='FC Goa', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",3,2018,1,2,1,38,False,great evening fortress thank gaurs best 12th man throughout season sets us exciting second leg chennai cant wait 👌 forcagoa fcgoaofficial,0.4625,0.525,141036,234
4482,2018-03-12 04:34:46+00:00,imVkohli,"Congratulations @DivyaDhayal, ace Archer &amp; #VKF athlete, for winning a Bronze in the Compound team category in the Asia Cup at Bangkok! 👏",en,30473,1613,339,15,['VKF'],0,"[User(username='DivyaDhayal', id=873586567813746689, displayname='Divya Dhayal', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",3,2018,1,1,1,23,False,congratulations divyadhayal ace archer amp vkf athlete winning bronze compound team category asia cup bangkok 👏,0.75,0.625,138717,141
4481,2018-03-13 16:54:57+00:00,imVkohli,"Disappointed that we couldn't make it to the finals, but great courage shown by the boys! Congratulations on a splendid season to Sergio and the team. 👏 @FCGoaOfficial #ForcaGoa #WeTogether #HeroISL https://t.co/M0EsUEu50k",en,37395,1721,641,38,"['ForcaGoa', 'WeTogether', 'HeroISL']",0,"[User(username='FCGoaOfficial', id=2677681358, displayname='FC Goa', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",3,2018,1,3,1,32,False,disappointed couldnt make finals great courage shown boys congratulations splendid season sergio team 👏 fcgoaofficial forcagoa wetogether heroisl,0.8333333333333334,0.36111111111111116,142216,222
4480,2018-03-17 09:30:27+00:00,imVkohli,"Congratulations to my brother Vikas @omegus10 and Vikrant for winning the Best Western Cuisine Award at the Times Food Awards 2018 for #Nueva World Great food, great place and great achievements following. 😇🙌 #TFNA18 https://t.co/evqxK30sXf",en,26480,1394,400,24,"['Nueva', 'TFNA18']",0,"[User(username='Omegus10', id=1335971723209019392, displayname='Omegus', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",3,2018,1,2,1,35,False,congratulations brother vikas omegus10 vikrant winning best western cuisine award times food awards 2018 nueva world great food great place great achievements following 😇🙌 tfna18,0.4857142857142857,0.557142857142857,273798,240
4479,2018-03-19 02:36:51+00:00,imVkohli,Early morning training is Bliss! 👌👌 #ComeOutAndPlay @PUMA https://t.co/MfnreLI1LC,en,64477,2963,1362,129,['ComeOutAndPlay'],0,"[User(username='PUMA', id=50883209, displayname='PUMA.eth', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",3,2018,1,1,1,9,False,early morning training bliss 👌👌 comeoutandplay puma,0.3,0.125,260992,81
4478,2018-03-20 12:25:11+00:00,imVkohli,Great cut from the style master @AalimHakim👌 https://t.co/mGiPVrjiC5,en,77011,3616,2887,249,0,0,"[User(username='AalimHakim', id=124722110, displayname='Aalim Hakim', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",3,2018,1,0,1,8,False,great cut style master aalimhakim👌,0.75,0.8,131318,68
4477,2018-03-20 13:30:57+00:00,imVkohli,Great Job and very well said Bhajju Pa 👌🙏 https://t.co/1cqvQGbDwd,et,25137,1324,399,16,0,0,0,3,2018,0,0,1,10,False,great job well said bhajju pa 👌🙏,0.525,0.5,259395,65
4476,2018-03-24 13:01:39+00:00,imVkohli,Aiden Markram is a delight to watch!,en,67650,6155,1861,1003,0,0,0,3,2018,0,0,0,7,False,aiden markram delight watch,0.0,0.0,2628,36
4475,2018-03-26 15:35:07+00:00,imVkohli,Great session today. Getting stronger everyday! 👍💪✅ https://t.co/2J3VHK3Lre,en,79426,3914,2441,164,0,0,0,3,2018,0,0,1,8,False,great session today getting stronger everyday 👍💪✅,0.675,0.275,270787,75
4474,2018-03-27 02:35:11+00:00,imVkohli,"Despite being curable, TB is world’s top infectious killer. Made by @KanhaiSharma04 and has done a great job at it. Such a good thought behind this. Wish you well.

https://t.co/ygdMJcXSZh",en,20449,1413,266,21,0,0,"[User(username='KanhaiSharma04', id=978270911664140288, displayname='Kanhai Sharma', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",3,2018,1,0,0,30,False,despite curable tb world’s top infectious killer made kanhaisharma04 done great job good thought behind wish well,0.61,0.32,18881,188
4473,2018-03-27 11:03:42+00:00,imVkohli,"Just finished my conditioning training guys, what's your training plan today? #ComeOutAndPlay https://t.co/JQY7eTOWzz",en,42256,2780,1456,148,['ComeOutAndPlay'],0,0,3,2018,0,1,0,13,False,finished conditioning training guys whats training plan today comeoutandplay,0.0,0.0,7591,117
